key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
This game requires a newer Azoomee version. Please update Azoomee app from the app store and try again.,This game requires a newer Azoomee version. Please update Azoomee app from the app store and try again.,Necesitas una versión más reciente de Azoomee para disfrutar de este juego. Actualiza la aplicación de Azoomee en la App Store e inténtalo de nuevo.,Ce jeu nécessite une nouvelle version d'Azoomee. Veuillez mettre à jour Azoomee depuis l'App Store et réessayer.,Este jogo requer uma versão mais recente do Azoomee. Atualize a sua aplicação Azoomee através da app store e tente novamente.,Questo gioco richiede una versione di Azoomee più aggiornata. Aggiorna la app di Azoomee nello store e riprova.,Dieses Spiel erfordert eine neuere Azoomee-Version. Bitte aktualisieren Sie die Azoomee-App über den App Store und probieren Sie es dann erneut.,Αυτό το παιχνίδι απαιτεί νεότερη έκδοση του Azoomee. Ενημερώστε την εφαρμογή Azoomee στο app store και δοκιμάστε ξανά.,Bu oyun daha yeni bir Azoomee sürümü gerektiriyor. Lütfen App Store'den Azomee uygulamasını güncelleyin ve yeniden deneyin.,Hierdie speletjie vereis ’n nuwer Azoomee-weergawe. Werk asseblief Azoomee-miniprogram via die programwinkel by en probeer weer.
Game incompatible,Game incompatible,Juego incompatible,Jeu incompatible,Jogo incompatível,Gioco incompatibile,Spiel nicht kompatibel,Παιχνίδι μη συμβατό,Oyun uyumsuz,Speletjie onversoenbaar
Unable to Delete,Unable to Delete,Error al eliminar,Suppression impossible,Não foi possível apagar,Impossibile eliminare,Löschen nicht möglich,Δεν είναι δυνατή η διαγραφή,Silinemiyor,Kan nie skrap nie
There was a problem deleting this profile. Please try again later.,There was a problem deleting this profile. Please try again later.,Ha surgido un problema al eliminar este perfil. Vuelve a intentarlo más tarde.,Une erreur s'est produite lors de la suppression du profil. Veuillez réessayer plus tard.,Ocorreu um problema ao apagar este perfil. Tente novamente mais tarde.,Si è verificato un problema nell’eliminare questo profilo. Riprova più tardi.,Beim Löschen dieses Profils ist ein Problem aufgetreten. Bitte später erneut probieren.,Παρουσιάστηκε κάποιο πρόβλημα κατά τη διαγραφή αυτού του προφίλ. Δοκιμάστε ξανά αργότερα.,Bu profil silinirken bir sorun meydana geldi. Lütfen daha sonra yeniden deneyin.,Kon nie hierdie profiel skrap nie. Probeer asseblief later weer.
"Sign up or log in for access to the best kids’ TV shows, games and audiobooks in one safe app.","Sign up or log in for access to the best kids’ TV shows, games and audiobooks in one safe app.","Regístrate o inicia sesión para acceder a los mejores programas, juegos y audiolibros infantiles en una aplicación segura.","Inscrivez-vous ou connectez-vous pour accéder aux meilleurs séries, jeux et livres audio pour enfants en une seule application.","Subscreva ou inicie sessão para ter acesso às melhores séries de televisão, jogos e livros áudio para crianças numa só aplicação segura.","Registrati o accedi per poterti divertire con i migliori programmi TV, giochi e audiolibri per bambini in una sola app davvero sicura.","Registrieren Sie sich oder melden Sie sich an, um in einer einzigen sicheren App Zugriff auf die besten Serien, Spiele und Hörbücher für Kinder zu haben.","Πραγματοποιήστε εγγραφή ή είσοδο για να αποκτήσετε πρόσβαση στα καλύτερα παιδικά τηλεοπτικά προγράμματα, παιχνίδια και ηχογραφημένα βιβλία σε μια ασφαλή εφαρμογή.","Tek bir güvenli uygulama üzerinden en iyi çocuk TV programlarına, oyunlarına ve sesli kitaplarına erişim için kaydolun veya oturum açın.","Registreer of meld aan vir die beste kinder-TV-programme, -speletjies en -oudioboeke in een veilige miniprogram."
"No worries, a bunch of well trained Oomees are already working on this issue. Please log back in to start again.","No worries, a bunch of well trained Oomees are already working on this issue. Please log back in to start again.",No pasa nada. Tenemos un porrón de Oomees bien formados para resolver esta incidencia. Vuelve a iniciar sesión para comenzar de nuevo.,"Ne vous inquiétez pas, un groupe d'experts Oomee travaille à résoudre ce problème. Veuillez vous reconnecter pour recommencer.","Não se preocupe, um monte de Oomees bem treinados já está a trabalhar neste problema. Volte a iniciar sessão para recomeçar.","Non preoccuparti, un sacco di Oomee ben addestrati stanno già lavorando per risolvere il problema. Effettua nuovamente l'accesso per ricominciare.","Keine Sorge, eine Gruppe gut ausgebildeter Oomees kümmert sich bereits um dieses Problem. Bitte melden Sie sich wieder an, um neu anzufangen.","Μην ανησυχείτε, μια ομάδα καλά εκπαιδευμένων Oomees εργάζονται ήδη πάνω σε αυτό το θέμα. Πραγματοποιήστε είσοδο για να ξεκινήσετε ξανά.","Endişelenmeyin, bir grup iyi eğitimli Oomee sorunu gidermeye çalışıyor. Lütfen baştan başlamak için yeniden oturum açın.","Ontspan, ’n span goed opgeleide oomees werk reeds hieraan. Meld weer aan om weer te begin."
"Parental consent is required before a child can access Chat. By purchasing an Azoomee subscription, you are providing your consent as a parent or guardian for children to use Azoomee's messaging service (Chat).","Parental consent is required before a child can access Chat. By purchasing an Azoomee subscription, you are providing your consent as a parent or guardian for children to use Azoomee's messaging service (Chat).","Para que un niño pueda acceder al chat se requiere consentimiento parental. Al adquirir una suscripción a Azoomee, das tu consentimiento como padre o tutor para que los niños utilicen el servicio de mensajes de Azoomee (Chat).","Une autorisation parentale est nécessaire à l'utilisation de Chat par un enfant. En souscrivant un abonnement Azoomee, vous accordez votre consentement en tant que parent ou tuteur afin que l'enfant utilise le service de messagerie d'Azoomee (Chat).","Antes que uma criança aceda ao Chat, é necessária autorização dos pais. Ao adquirir uma subscrição Azoomee, está a facultar a sua autorização como pai ou responsável para que as crianças utilizem o serviço de mensagens do Azoomee (Chat).","Per poter accedere alla chat, un bambino ha bisogno del consenso dei genitori. Acquistando un abbonamento ad Azoomee, come genitore o tutore, consenti ai bambini di usare il servizio di messaggistica (chat) di Azoomee.","Die Zustimmung der Eltern ist erforderlich, bevor ein Kind auf den Chat zugreifen kann. Durch den Erwerb eines Abonnements von Azoomee geben Sie Ihre Zustimmung als Elternteil oder Erziehungsberechtigter für Ihre Kinder zur Benutzung des Messaging-Services (Chat) von Azoomee.","Απαιτείται η συγκατάθεση των γονέων, προκειμένου ένα παιδί αποκτήσει πρόσβαση στο Chat. Αγοράζοντας μια συνδρομή Azoomee δίνετε τη συγκατάθεσή σας, ως γονέας ή κηδεμόνας, ώστε να μπορούν τα παιδιά να χρησιμοποιούν την υπηρεσία ανταλλαγής μηνυμάτων (Chat) του Azoomee.","Bir çocuğun Chat'e erişmesi için ebeveyn izni gerekir. Bir Azoomee aboneliği satın aldığınızda, çocukların ebeveyni veya velisi olarak Azoomee'nin mesajlaşma servisini (Chat) kullanmalarına izin vermiş olursunuz.","Ouers se toestemming is nodig voordat ’n kind toegang tot Chat kan verkry. As jy ’n Azoomee-intekening koop, gee jy as ouer of voog toestemming dat kinders Azoomee se boodskapdiens (Chat) gebruik."
"Azoomee values your child's privacy and safety. We do not share or sell you or your child's personal information with 3rd parties, and we do not serve any advertising.","Azoomee values your child's privacy and safety. We do not share or sell you or your child's personal information with 3rd parties, and we do not serve any advertising.",Azoomee valora la privacidad y seguridad de tu hijo. No compartiremos ni venderemos información tuya o de tus hijos con ningún tercero. Tampoco ofrecemos publicidad de ningún tipo.,Azoomee accorde une grande importance à la vie privée et la sécurité de votre enfant. Nous ne partageons ni ne vendons vos informations personnelles ou celles de votre enfant à aucun tiers et ne les utilisons pas non plus à des fins publicitaires.,A privacidade e a segurança dos seus filhos são importantes para o Azoomee. Não partilhamos ou vendemos os seus dados pessoais ou os dos seus filhos a terceiros e não servimos qualquer publicidade.,"Azoomee prende molto seriamente la sicurezza e la privacy del tuo bambino. Non condividiamo o vendiamo le tue informazioni personali e quelle del tuo bambino a terze parti, e non pubblichiamo alcuna pubblicità.",Azoomee legt Wert auf den Datenschutz und die Sicherheit Ihres Kindes. Wir geben oder verkaufen Ihre personenbezogenen Daten oder die Ihres Kindes nicht an Dritte weiter und wir dienen auch keinen Werbezwecken.,"Η Azoomee σέβεται το απόρρητο και την ασφάλεια του παιδιού σας. Δεν μοιραζόμαστε και δεν πωλούμε τα προσωπικά σας στοιχεία ή αυτά του παιδιού σας σε τρίτους, και δεν εξυπηρετούμε διαφημιστικούς σκοπούς.",Azoomee çocuğunuzun gizliliğine ve güvenliğine değer verir. Siz veya çocuğunuzun kişisel bilgilerini 3. taraflarla paylaşmayız ve reklamlara yer vermeyiz.,"Azoomee is besorg oor jou kind se privaatheid en veiligheid. Ons deel nie met of verkoop nie jou kind se persoonlike inligting aan derde partye nie, en ons lewer geen advertensies nie."
Please visit the Azoomee website to read our Privacy Policy and Terms of Use,Please visit the Azoomee website to read our Privacy Policy and Terms of Use,Visita el sitio web de Azoomee para leer nuestra Política de privacidad y nuestros Términos de uso,Rendez-vous sur le site d'Azoomee pour consulter notre Politique de confidentialité et nos Conditions d'utilisation.,"Para ler a nossa Política de Privacidade e Termos de Utilização, visite o website do Azoomee",Visita il sito web di Azoomee per consultare la nostra Informativa sulla privacy e i nostri Termini di utilizzo.,Bitte besuchen Sie die Azoomee-Website und lesen Sie sich unsere Datenschutzrichtlinie und Nutzungsbedingungen durch.,Επισκεφτείτε την ιστοσελίδα του Azoomee για να διαβάσετε την Πολιτική Απορρήτου και τους Όρους Χρήσης,Lütfen Gizlilik Politikamızı ve Kullanım Koşullarımızı okumak için Azoomee web sitesini ziyaret edin,Besoek asseblief die Azoomee-webwerf vir ons privaatheidsbeleid en gebruikbepalings
This is for grown ups. Please answer this question to continue,This is for grown ups. Please answer this question to continue,Esto es para adultos. Responde a esta pregunta para continuar,Ceci est destiné aux adultes. Veuillez répondre à cette question pour continuer,"Isto é para crescidos. Para continuar, responda a esta pergunta",Questa parte è per gli adulti. Rispondi a questa domanda per continuare,Das ist nur für Erwachsene geeignet. Bitte beantworte zum Fortfahren die folgende Frage.,Αυτό είναι για ενήλικες. Απαντήστε σε αυτήν την ερώτηση για να συνεχίσετε,Bu yetişkinler içindir. Lütfen devam etmek için bu soruyu yanıtlayın,Dit is vir volwassenes. Dit is vir volwassenes. Beantwoord asseblief hierdie vraag om voort te gaan
AZOOMEE PREMIUM SUBSCRIPTION,AZOOMEE PREMIUM SUBSCRIPTION,SUSCRIPCIÓN PREMIUM A AZOOMEE,ABONNEMENT AZOOMEE PREMIUM,SUBSCRIÇÃO AZOOMEE PREMIUM,ABBONAMENTO PREMIUM AD AZOOMEE,AZOOMEE PREMIUM-ABONNEMENT,ΣΥΝΔΡΟΜΗ AZOOMEE PREMIUM,AZOOMEE PREMIUM ABONELİĞİ,AZOOMEE-PREMIUM-INTEKENING
Unlimited access for £4.99 per month to everything while subscribed,Unlimited access for £4.99 per month to everything while subscribed,"Acceso ilimitado a todo el contenido por 4,99 £ al mes mientras dure la suscripción","Accès illimité à tout le contenu pour 4,99 £ par mois",Acesso ilimitado por £4.99/mês a tudo durante o seu período de subscrição,"Con l'abbonamento, ottieni l'accesso illimitato a ogni contenuto per £4.99 al mese","Unbegrenzter Zugriff auf alle Inhalte bei einem Abonnement für 4,99 £ pro Monat.","Απεριόριστη πρόσβαση σε ολόκληρο το περιεχόμενο με 4,99 £ τον μήνα για όσο διαρκεί η συνδρομή","Abonelik esnasında aylık 4,99 £ karşılığında her şeye sınırsız erişim","Onbeperkte toegang vir £4,99 per maand, met toegang tot alles terwyl jy ’n intekening het"
Payment will be charged to iTunes Account at confirmation of purchase,Payment will be charged to iTunes Account at confirmation of purchase,El pago se hará efectivo a través de tu cuenta de iTunes al confirmar la compra,Le paiement sera effectué sur votre compte iTunes une fois l'achat confirmé,O pagamento será efetuado através da sua Conta iTunes na confirmação da compra,Il pagamento sarà addebitato al tuo account iTunes alla conferma dell'acquisto.,Bei Kaufbestätigung wird das iTunes-Konto mit der Zahlung belastet.,Η πληρωμή θα χρεωθεί στον Λογαριασμό iTunes κατά την επιβεβαίωση της αγοράς,"Ödeme, satın almanın onaylanmasıyla birlikte iTunes Hesabından alınır",Betaling sal gehaal word van iTunes-rekening sodra jy die aankoop bevestig
